Id,TypeOfComputationUsed,GraphicalModelName,Iteration,MinAndMaxProbabilityofQueryequalsTrue,MaxAndMaxProbabilityofQueryequalsTrue,IntervalLength,NumberOfExtremePoints,AllExplored,Time,Total Time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
53,S-BP,BinaryTreeModel5Incremental,23,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.169,7.355,0,0,0,0,0
54,S-BP,BinaryTreeModel5Incremental,24,0.3379958559717999,0.4311620934909855,0.09316623751918562,8,false,0.137,7.492000000000001,0,0,0,0,0
55,S-BP,BinaryTreeModel5Incremental,25,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.099,7.591000000000001,0,0,0,0,0
56,S-BP,BinaryTreeModel5Incremental,26,0.3379958559717999,0.4311620934909855,0.09316623751918562,4,false,0.106,7.697000000000001,0,0,0,0,0
57,S-BP,BinaryTreeModel5Incremental,27,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.078,7.775000000000001,0,0,0,0,0
58,S-BP,BinaryTreeModel5Incremental,28,0.3379958559717999,0.4034038245895786,0.0654079686177787,2,false,0.07,7.8450000000000015,0,0,0,0,0
59,S-BP,BinaryTreeModel5Incremental,29,0.38919006107356763,0.38919006107356763,0.0,1,true,0.051,7.896000000000002,0,0,0,0,0
60,S-BP,BinaryTreeModel5Incremental,0,0.0,1.0,1.0,2,false,0.0,0.0,0,0,0,0,0
61,S-BP,BinaryTreeModel5Incremental,1,0.0,1.0,1.0,3,false,0.027,0.027,0,0,0,0,0
62,S-BP,BinaryTreeModel5Incremental,2,0.0,1.0,1.0,3,false,0.023,0.05,0,0,0,0,0
63,S-BP,BinaryTreeModel5Incremental,3,0.1065989847715736,1.0,0.8934010152284264,8,false,0.081,0.131,0,0,0,0,0
64,S-BP,BinaryTreeModel5Incremental,4,0.1065989847715736,1.0,0.8934010152284264,8,false,0.05,0.181,0,0,0,0,0
65,S-BP,BinaryTreeModel5Incremental,5,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.111,0.292,0,0,0,0,0
66,S-BP,BinaryTreeModel5Incremental,6,0.1065989847715736,0.8286066584463625,0.7220076736747889,16,false,0.117,0.409,0,0,0,0,0
67,S-BP,BinaryTreeModel5Incremental,7,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.245,0.6539999999999999,0,0,0,0,0
68,S-BP,BinaryTreeModel5Incremental,8,0.25124943207632894,0.7868550368550369,0.5356056047787079,32,false,0.208,0.8619999999999999,0,0,0,0,0
69,S-BP,BinaryTreeModel5Incremental,9,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.435,1.297,0,0,0,0,0
70,S-BP,BinaryTreeModel5Incremental,10,0.25265754926746065,0.7843341069928377,0.531676557725377,64,false,0.332,1.629,0,0,0,0,0
71,S-BP,BinaryTreeModel5Incremental,11,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.526,2.1550000000000002,0,0,0,0,0
72,S-BP,BinaryTreeModel5Incremental,12,0.28918489871936576,0.7477617442402307,0.4585768455208649,128,false,0.495,2.6500000000000004,0,0,0,0,0
73,S-BP,BinaryTreeModel5Incremental,13,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.93,3.5800000000000005,0,0,0,0,0
74,S-BP,BinaryTreeModel5Incremental,14,0.28918489871936576,0.49672985476636844,0.20754495604700268,256,false,0.927,4.507000000000001,0,0,0,0,0
75,S-BP,BinaryTreeModel5Incremental,15,0.2919217544932245,0.49391282042035367,0.20199106592712918,128,false,0.572,5.079000000000001,0,0,0,0,0
