Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
8,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,1,false,0.028,0.219,4,5,0,0,0
9,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.059,0.278,4,5,0,0,0
10,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.069,0.34700000000000003,4,5,0,0,0
11,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.067,0.41400000000000003,4,5,0,0,0
12,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.076,0.49000000000000005,4,5,0,0,0
13,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.084,0.5740000000000001,4,5,0,0,0
14,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.085,0.659,4,5,0,0,0
15,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.092,0.751,4,5,0,0,0
16,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.098,0.849,4,5,0,0,0
17,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,2,false,0.124,0.973,4,5,0,0,0
18,S-BP,Line Model,0.4166666666666667,0.4166666666666667,0.0,1,false,0.071,1.044,4,5,0,0,0
19,SGDPLL,Line Model,0.4166666666666667,0.4166666666666667,0.0,0,true,240.268,240.268,4,5,0,0,0
0,S-BP,Binary Tree Model,0.0,1.0,1.0,2,false,0.0,0.0,4,5,0,0,0
1,S-BP,Binary Tree Model,0.1,1.0,0.9,4,false,0.01,0.01,4,5,0,0,0
2,S-BP,Binary Tree Model,0.1,1.0,0.9,4,false,0.009,0.019,4,5,0,0,0
3,S-BP,Binary Tree Model,0.1,1.0,0.9,8,false,0.027,0.046,4,5,0,0,0
4,S-BP,Binary Tree Model,0.1,1.0,0.9,8,false,0.047,0.093,4,5,0,0,0
5,S-BP,Binary Tree Model,0.23203592814371257,1.0,0.7679640718562875,8,false,0.082,0.175,4,5,0,0,0
6,S-BP,Binary Tree Model,0.23203592814371257,1.0,0.7679640718562875,8,false,0.079,0.254,4,5,0,0,0
7,S-BP,Binary Tree Model,0.43870040149021594,0.49581939799331104,0.0571189965030951,16,false,0.174,0.428,4,5,0,0,0
8,S-BP,Binary Tree Model,0.43870040149021594,0.49581939799331104,0.0571189965030951,16,false,0.21,0.638,4,5,0,0,0
9,S-BP,Binary Tree Model,0.44087411069950555,0.49581939799331104,0.05494528729380549,16,false,0.293,0.931,4,5,0,0,0
10,S-BP,Binary Tree Model,0.44087411069950555,0.49581939799331104,0.05494528729380549,16,false,0.299,1.23,4,5,0,0,0
11,S-BP,Binary Tree Model,0.4486814628091129,0.49581939799331104,0.04713793518419812,16,false,0.874,2.104,4,5,0,0,0
12,S-BP,Binary Tree Model,0.46507199764912593,0.4953709615630188,0.030298963913892862,16,false,1.178,3.282,4,5,0,0,0
13,S-BP,Binary Tree Model,0.46507199764912593,0.4953709615630188,0.030298963913892862,16,false,1.071,4.353,4,5,0,0,0
14,S-BP,Binary Tree Model,0.47448636513286135,0.492905885456108,0.01841952032324662,16,false,0.921,5.274,4,5,0,0,0
15,S-BP,Binary Tree Model,0.47448636513286135,0.492905885456108,0.01841952032324662,16,false,1.349,6.623,4,5,0,0,0
16,S-BP,Binary Tree Model,0.4747847471486666,0.4927109400070446,0.017926192858377987,16,false,3.015,9.638,4,5,0,0,0
17,S-BP,Binary Tree Model,0.481063856945538,0.4852259462072933,0.00416208926175532,4,false,5.25,14.888,4,5,0,0,0
18,S-BP,Binary Tree Model,0.48434430124969685,0.48457768288643216,2.333816367353081E-4,4,false,4.599,19.487000000000002,4,5,0,0,0
19,S-BP,Binary Tree Model,0.48434430124969685,0.48457768288643216,2.333816367353081E-4,4,false,5.672,25.159000000000002,4,5,0,0,0
20,S-BP,Binary Tree Model,0.48434430124969685,0.48442616565008145,8.186440038460141E-5,4,false,6.109,31.268,4,5,0,0,0
21,S-BP,Binary Tree Model,0.48434430124969685,0.48442616565008145,8.186440038460141E-5,4,false,19.684,50.952,4,5,0,0,0
